Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,reviews
Boeing 747-400,Couple Leisure,Economy Class,London to Chicago,April 2018,5.0,5.0,4.0,4.0,4.0,,5,yes,"Not Verified |  First time flying with British Airways in economy on a Transatlantic flight from London to Chicago. I was impressed by the hard work of the professional and friendly Flight Attendants. They walked up and down the plane helping people with various issues and offering good tasty meals, snacks and drinks of all kinds. I will definitely fly British overseas again given a chance. The economy seats on this old but well kept Boeing 747-400 were very comfortable and I am a 5'9"" x 240lbs and still did not feel cramped. I would encourage all my friends to fly British if they want to have a very comfortable flight from the US to Europe. Thank You British Airways, very good service indeed."
,Business,First Class,Geneva to Vancouver via London,March 2018,4.0,1.0,2.0,3.0,5.0,,1,no,"✅ Trip Verified |  Geneva to Vancouver via London. Worst experience. Terrible service and when we wrote with constructive criticism, they offered £25 voucher and no apology - an insult as did not ask for compensation. It's an expensive price to pay for a low cost airline. On a positive point the Geneva to London flights were fine but the 2 long haul flights to Vancouver were abysmal."
A320,Couple Leisure,Business Class,London Heathrow to Corfu ,May 2018,4.0,5.0,5.0,,4.0,,5,yes,✅ Trip Verified |  This is the first time I have flown BA's Club Europe flying from London Heathrow to Corfu. I was not expecting a great deal having read a lot of less than positive reviews online however I was very pleasantly surprised. Shortly after boarding we were offered a welcome drink with a bag of nuts and a choice of magazine to read. Not long after this there was a full drinks service followed but a 4 course meal which was very tasty. I had cured salon followed by chicken breast then ginger cheesecake and a small cheese plate. We were then offered a choice of hot drinks and a top up of champagne. The crew were very attentive and helpful. They had a smile on their face all the time and the flight seemed to zip past. The seats were the usual economy seats with the middle blanked by a tray but for a relatively short trip it was fine. This flight was an upgrade using Avios and I would happily do it again. I paid around 6500 avios and an extra £13 in taxes which I think was very good value for what I had.
A320,Couple Leisure,Economy Class,Barcelona to Gatwick,June 2018,3.0,1.0,1.0,,3.0,,2,no,"✅ Trip Verified |  Our original flight was cancelled as my wife and I were just disembarking from a cruise ship. We were then advised shortly after by SMS that we had been automatically re-booked on a flight the next day, to London Heathrow. This was not a lot of good when our car was parked at Gatwick. I managed to get through to BA and was given a new booking to Gatwick also the following day. We were offered no other assistance by the airline. The following day we turned up at the airport to find the new flight was running 40 minutes late. Having eventually boarded the aircraft, we stayed at the gate for about 45 minutes before the captain deigned to tell us that the delay was being caused by problems at Barcelona airport. Shortly thereafter the captain advised us that we might wait for another two hours, so we would be given water. This was quickly superseded by a further announcement that a slot had become available at short notice, so no water was served. The real horror of this flight, however, was British Airways new food service, whereby passengers buy food and pay by card/Avios. This simply does not work. After one hour in the air, the trolley had moved about nine rows from the front of the cabin. Eventually a flight attendant attempted to work from the back forward by running backwards and forwards from the trolley. About 20 minutes from touchdown he reached us and we asked for two cans of drink and a packet of crisps (potato chips). He returned to tell us he had no crisps and only one can, which we duly shared between us. Having been on the aircraft for three and a half hours, this was the only refreshment we could obtain. I consider this to be completely unacceptable. If this is the level of service we can now expect from British Airways, there is no point traveling with them. The budget airlines can do better at lower cost."
,Business,Business Class,Hong Kong to London,June 2018,1.0,1.0,2.0,1.0,3.0,,1,no,"✅ Trip Verified |  Hong Kong to London. This was my first Business Class trip on BA, as I mostly use Emirates or Cathay Pacific. In comparison, BA offers a very low standard. The flight attendant who served the section where I was seated couldn't have cared less. No greetings when passengers boarded the plane, no offer of help. He asked for my drink order but never delivered the drink. No second drink was offered. The toilet hadn't been cleaned properly before boarding, and during the flight, one of the two washrooms became unusable, resulting in long queues. The seating arrangement - having to face a stranger who sits in the opposite direction- is uncomfortable. Overall, appalling quality and little value for money."
Boeing 747 / A320,Solo Leisure,Business Class,Washington to Bucharest via London,May 2018,5.0,5.0,4.0,,5.0,,5,yes,"✅ Trip Verified |  Washington to Bucharest return via London. I was originally booked in World Traveller Plus but at Dulles check-in was offered a Club World upgrade at just $499 more which I accepted - resulting flight was very comfortable with good food and top-drawer service. The two London-Bucharest sectors both went well. But all this was just a prelude to my return trip. While in Bucharest I sustained a fall and although I wasn't seriously hurt it was still difficult to walk long distances especially with heavy luggage. At the Bucharest airport bag drop the agent noticed my situation and offered assistance, which I accepted - and was promptly wheeled through security, passport control and the (very long) corridors to the gate, then put aboard the plane. On arrival in London I was met by more assistance to whisk me through the vastness of T5 and onto the plane, this time with the pleasant surprise of another Club World upgrade (this time for free). Once on the plane back to Washington the cabin crew couldn't do enough for me, checking how I was doing, going through meal choices (the menu this time round was a bit heavy on cheese and other dairy items I really can't eat but ultimately I still ate well), getting me drinks, and more. They were as professional and proactive a crew as I've ever experienced in 40 years of long-haul travel. Finally, once arrived at Dulles more assistance was waiting, right up to getting my cab. What could have been an ordeal on this return trip was turned into as relaxing and satisfying a travel experience as can be imagined - through the years I've had mostly excellent experiences with BA cabin crews and that's a big reason why I've stayed with BA all these years and will continue to do so. But a big standing ovation for the cabin and ground crews for these flights for above-and-beyond service - you're the best."
A320,Solo Leisure,Economy Class,London to Warsaw,May 2018,2.0,2.0,,,3.0,,3,no,"✅ Trip Verified |  London to Warsaw. BA European service is becoming like an expensive low cost airline. The price of seat selection still remains high. The seat on the outbound flight is not even reclining and it was a 2-hour flight.  You can always feel the elbows of the passengers next to you whenever someone is moving. I didn't buy any food or drink onboard, although I reckon it's not badly priced. The inbound flight was on an older A320, in which the seat was reclining. "
A320,Solo Leisure,Economy Class,London to Istanbul,May 2018,3.0,5.0,1.0,,2.0,,1,no,"✅ Trip Verified |  London to Istanbul. Due to poor weather conditions at LHR, the flight was initially delayed by 2 hours which is quite understandable. When the passengers were informed of the gate, everyone gathered at the 'A' gate in T5. Then, no announcement and the ground staff were in a world of their own. Next, there is a screen notice that the flight will depart from a C gate. Everyone rushes to the one of the last of the 'C' gates. Once on board, the dreaded announcement that the flight will be delayed by another hour. The flight finally takes off nearly three hours late. After a while, the crew comes with the M&S gibberish but passengers are so hungry that by the time the crew serve the fifth row in economy the sandwiches are all over and I had packet of crisps and a diet coke for dinner. The flight arrived in Istanbul three hours late and to add insult to injury, the aircraft stops at a remote gate and we have to trek to the terminal. "
Boeing 747-400,Couple Leisure,First Class,London to Cape Town,May 2018,4.0,2.0,4.0,3.0,4.0,,3,yes,"✅ Trip Verified |  London to Cape Town. Flying first class with British Airways is a hit-or-miss affair. But having secured a couple of return flights to Cape Town with Avios, our expectations were running high as we entrusted our car to the meet and greet parking. Unfortunately, Terminal 3 isn't the best starting point and Galleries First lacks glamour - or decent champagnes. The food on offer is adequate, although hardly first class. Hoping for better on board, we didn't use the sit down menu. Boarding was on time and according to BA's new group allocation. Our seats - 2K and 3K - were a first for us, as we've previously gone for pairs in the centre. But seats A and K are definitely superior, with more storage space and better privacy. However, there's no escaping the fact that the relatively recent first class refit is in a relatively ancient plane, particularly when one inspects the shabby state of fittings in the toilets and galley. The IFE is also showing its age and badly in need of an upgrade. But at least it didn't require rebooting on our flight. Cabin crew in first were the usual mixed bag. The FA looking after our side seemed to be in the wrong job. Food was better than usual, although a malfunctioning oven meant that we had to wait 30 minutes for our hot breakfast. Landing was ahead of schedule and we were through immigration and baggage reclaim within 15 minutes. Overall, a decent flight but let down by the attitude of the cabin crew and the age of the plane."
Boeing 747,Solo Leisure,First Class,Miami to Hamburg via London,May 2018,3.0,4.0,3.0,,2.0,,1,no,"✅ Trip Verified |  London to Hamburg. Typically if I fly BA it is SFO or LAX to LHR. This time I flew them from Miami via Tampa thru LHR to Hamburg. Using their Avios points I secured a first class seat which of course is a scam because BA charges you fees and surcharges to use those points at $500 per direction. Their Miami operation appears to be a poor second class cousin to American as they use two of their ticketing and check in kiosks plus share the American premium class (not) lounge. All the american processed slices of cheese and bologna you can eat with free booze is not what I call a premium lounge. The BA gate in the dreadful E terminal is not even on the main floor but downstairs. People jammed up to the entry points for boarding which creates a mess of boarding people by sections. Boarding was like a cattle call. BA flies one of its oldest B747 into Miami and it showed even in first. The seats were of the older design and it appeared the carpet was recent but the cabin smelled of moldy carpet. The service and food was surprisingly good compared to their service out of California. The flight was late leaving and late arriving, and this Miami flight does not dock in terminal 5. Rather terminal 3 and requiring its passengers to take shuttle buses to the other terminals which is what I did for my connection to Hamburg. In the end I decided I was done with BA because their service model for premium passengers has  hit rock bottom. Their Avios program is nearly worthless on any premium class booking or on its partner airlines. Try using BA points on American or Cathay or even Alaska and you will find it impossible regardless how far in advance you try. "
,Solo Leisure,Economy Class,Turin to London Gatwick,May 2018,2.0,3.0,1.0,,1.0,,1,no,"✅ Trip Verified | Turin to London Gatwick. Rubbish check-in service, as bad as Ryanair. I show the staff my mobile boarding pass, checked website that I have 2 x 32 kg bags checked allowance. One bag was over 23 kg (27/28), they refused to honour the 32 kg allowance and told me I will risk myself to miss the flight and not able to check in. They were so rude and unhelpful. Boarding was with the same unhelpful and unprofessional staff with the very arrogant manner. Flight was delayed without the checked-in agent saying anything, after all passengers board they start to tell people there will be an hour or so delay due to weather. At the very least the young crew serve passenger complimentary juice or water during the wait."
,Business,Economy Class,Frankfurt to London Cuty,May 2018,,,,,,,1,no,"✅ Trip Verified |  When I checked in the evening before for the 7am flight, it looked like only 40% of seats were occupied. 2 hrs before flight they cancelled it without rebooking or explanation. There is not a hotline to call."
,Couple Leisure,Economy Class,London to Madrid,May 2018,2.0,1.0,,,1.0,1.0,1,no,✅ Trip Verified |  BA’s reputation has been declining for years so I don’t use them. For various reasons I had to for a flight for Madrid. I had hand luggage. They texted asking for the hand luggage to be checked in as the flight was busy. I did and they lost it. 7 hours later no luggage or idea where it is. No compensation - only after 12 hours and for a small amount. Ridiculous airline which has managed to lose its prestige and good will. Lagging significantly behind EasyJet in all aspects.
A380,Business,Business Class,Los Angeles to London Heathrow,May 2018,1.0,1.0,1.0,1.0,1.0,1.0,1,no,"✅ Trip Verified |  Los Angeles to London Heathrow. Desperately poor service from British Airways in Club Class. Business Class is utterly outdated, with the weird ""facing each-other configuration"", and narrow / uncomfortable seats. The food served was appalling. The cabin crew were inattentive at best, and appeared disinterested in providing genuine customer service. The problem with British Airways now in First and Business Class, is what they are completely lacking: namely, any class or manners whatsoever. Poor food, uncomfortable seats, terrible / small movie screens, No WIFI and an overall budget airline experience. British Airways even charge for seat selection too, which adds insult to injury. Avoid this horrible airline if you can. The only redeeming feature of this  airline is the wonderful, quiet Airbus A380. A shame BA ruin the aircraft with such a poor quality product and attitude."
A320,Family Leisure,Economy Class,London Heathrow to Mahon,May 2018,3.0,2.0,,,1.0,,2,no,"✅ Trip Verified |  London Heathrow to Mahon. Booked 9 months ago flights for first family holiday for 2 years for 2 adults, 2 children and 1 infant in lap (almost £1k for all of us. Pre-booked seats at the same time. I was rather surprised when I got an email two weeks out saying “about your flight to Madrid on the 26th May” when I was flying direct Heathrow to Menorca. Airline assured me everything was fine. Further concern when self-service check-in opened 24 hours out, wife and daughters checked in fine, me and my son were referred to airport check-in (despite all being on the same booking). An urgent call to BA I was told 1) I was probably being moved to a bassinet position. When I pointed out this was utter nonsense she reneged and said 2) infants can’t check in online which I now understand is also incorrect. My concern was well placed. At BA T5 bag drop, check in agent looked flustered, a note in the booking prompted her to call various people and after about ten minutes she handed me a bunch of boarding passes. Only after I checked them she sheepishly admitted that our pre-booked seats were gone, my son and I had no seats at all and were standby, and my wife and daughters were dotted all around the cabin (16 rows apart). ‘Prebooked seating is not guaranteed you know!’ After kicking up a huge fuss (I believe they can’t legally sit children below a certain age away from parents?) the check-in manager offered me no explanation other than full flights, but promised me it would be sorted once they got round to closing my flight. Fast forward to the gate – utter carnage including the check-in supervisor (who cant have been more than 22) in tears. When I eventually got seen I was finally given a seat number for me and my son, again many rows apart from the rest of my family. As this was my sons first ever flight, I was absolutely livid that we couldn’t sit anywhere near each other. Added to that, my son is breastfed so how we are going to manage feeding, kids needing toilet etc. I put my foot down and was eventually given a single middle seat two rows again from my daughters who were by now sat together thank goodness. We boarded the flight pretty much last after all the furore & holding my son I get to my assigned seat and someone is in it. Asking to see his boarding pass surprise surprise he is in the correct seat. Cue BA staff running around and frantically checking boarding passes. Such is the confidence that the cabin crew have in their own ground staff, I even heard one of them mutter ‘check boarding cards and flight numbers as someone around here is on the wrong flight’! Fast forward another 5 mins and the plane is now pushing back with me standing in an aisle holding my son with not an empty seat on the plane with me saying to my wife that we’re going to have to get off here and my children in tears. Much checking of iPads and a BA staff member is then found (there were quite a few on the flight apparently) and hurriedly moved to the jumpseat whilst an announcement from the flight deck is booming out for everyone to take their seats or delay the flight (what seat?). Raised a formal complaint and was told that they 'understand my frustration' which is nice. Separate complaint raised to CAA about a pushing back with passengers including an infant with no seat. Conclusion is families avoid at all costs."
Boeing 777-200,Business,First Class,Dubai to London Heathrow,May 2018,5.0,5.0,5.0,,5.0,,5,yes,"✅ Trip Verified |  Dubai to London Heathrow. Lovely flight and a great BA Worldwide Crew, which are the best in the BA fleet. Very good seat with great extras that you would expect in 1st Class. Chose to sleep as it was a night flight, but had a delicious full breakfast in the morning. Baggage allowance was superb with 3 x 32Kg cases and 2 cabin bags. Overall, a lovely flight, with a great airline, that has a great crew"
A380,Solo Leisure,Economy Class,London Heathrow to Singapore,May 2018,4.0,3.0,4.0,3.0,4.0,,4,yes,"✅ Trip Verified |  London Heathrow to Singapore on 28 May 2018. In this review, I am reviewing the a la carte dining option on board for World Traveller. World Traveller passengers have the option to pre-order from a selection of 6 main courses up to 30 days in advance for selected long haul flights out of LHR with prices ranging from £15 to £18. I had the Gourmet Dining consisting of braised Hertfordshire beef cheek which was succulent and delicious. If you do not want to risk not getting your meal of choice on a long haul BA flight and if this a la carte option is available on your route, I highly recommend you to go for it."
,Couple Leisure,Economy Class,Paris to Newark,May 2018,1.0,1.0,,,1.0,,1,no,"✅ Trip Verified |  Paris to Newark, flight cancelled. This experience was one of the worst I’ve had. The engineers had no idea what was wrong with the engine, all air and water shut off for three hours. Not to mention the Boeing 757 looked ancient, for a 6 hour flight from Paris I expected a little more. The flight attendants did not keep us updated. Lastly after we got off the plane they had one  receptionist at the desk to deal with the 60+ people who needed to rebook flights and get hotels for the night. Will never fly British airways again. Delta forever."
,Couple Leisure,Economy Class,Heraklion to Gatwick,May 2018,1.0,3.0,,,1.0,,1,no,"✅ Trip Verified |  I flew BA from Heraklion to Gatwick. I bought exit row seats for me and 3 others to sit together with extra leg room. I paid around £150 for that in January. We got to the airport 2 hours before departure, queued to check in and was told that 2 of the seats were reallocated to someone else. I asked why. The BA rep said it was because the plane for the flight had changed. She then said we should have got there earlier. She wouldn't call BA customer service when I showed her the email acknowledging 2 of us were given row 7 bulkhead seats with less room than normal pitch. I was told to email BA and ask them to refund me the seat cost. The flight manager on the plane told me there was no change of plane. She apologised and said she'd take our case up with BA customer service. I also sent in a complaint. Today is 17 days with no response and my money still not refunded. I'll never fly with them again. "
Boeing 747 400,Couple Leisure,Premium Economy,Washington to London,May 2018,1.0,4.0,2.0,1.0,2.0,,1,no,"✅ Trip Verified |  Outbound from LHR to Washington on a refurbished 747 400 was in Economy all in all wasn't a bad experience, modern looking cabin with excellent IFE system, food and wine was good and cabin crew very attentive, was looking forward to the return trip as had upgraded to Premium Economy. Return flight BA 292 was delayed by late arrival of inbound flight, but no worries could relax in the PE cabin, boarding the aircraft and turning left for the first time ever immediate disappointed, how old was the plane? The cabin was dull and those seats looked as though they had seen better days, a quick check and this particular 747 was delivered to 1998 and hadn't had the refurbishment treatment. Leg room was a tad better than economy but seat controls not very efficient and as for the IFE system that decided not to work, mind you the screen was so small and scratched I doubt I would have been able to watch anything. Cabin crew offered a pre take off drink water or orange juice and a hot towel that had seen better days, it was the sort of thing that you clean your car with, after a few words from the Captain we departed. The evening meal was some sort of chicken with rice with real cutlery and was ok, wine and G&T was acceptable, about 1 hour before landing breakfast was served or should I say offered some sort of filled roll. I declined and had a tea in a paper cup and nothing more offered. I should add that the cabin crew were very attentive and tried to make us feel a bit special, for having spent an extra £400 for the upgrade. BA this experience was a disgrace for a once proud airline, never again."
A380,Business,Economy Class,Singapore to London,May 2018,4.0,2.0,1.0,1.0,3.0,,4,no,"✅ Trip Verified | Singapore to London. This was the second part of my Sydney to London trip and looked forward to it as it was on a BA A380. Now this aircraft, in Qantas colours, is one I am very familiar with having flown around 30 sectors over the last 12 months with QF. As mentioned in my review of BA16 (which was the first leg of this trip) it is the on board soft product that is the problem. The same comments for that review apply here. The IFE is a work of mystery in terms of content. On Qantas, American, Cathay one gets a really good mix of old and new movies, great music choices. Those who compile the content need to look at what they mean by award winning (Godfather, Gladiator, Brave-heart, Roman Holiday etc) are all things we as passengers want to see. Some smart edgy team in Soho, London pulled the content together forgetting that not everyone is edgy and want to see cutting edge stuff. IFE is one thing on long haul. The other is food and beverage. The food quality was just substandard and something I read about constantly. On Qantas (say QF1 from Singapore to London) one gets the evening meal service, followed by Weiss ice cream, a Lindt chocolate along the way, midnight snack of a pizza or sandwich and morning breakfast (fruit or eggs with usual muffin etc. At the rear of the main deck is a snack bar and in the galley will be found, chocolates, banana bread, cheese and biscuits. You would need to be really hungry to get through that lot but the point is that it is available and offered. BA need to get away from a meal service on take off and landing and nothing in between. The A380 is a flagship aircraft and on Qantas it is treated as such. I am a Qantas fanboy and spend a lot of time on their planes. Put the smartest, best looking crew onto a flagship as that is what people will remember. The BA crew were of a certain vintage more suited to lawn bowls. One guy looked like Steptoe (for those who remember) and was a miserable. Flying on an A380 should be an experience and I enjoy all my trips on that aircraft. BA have managed to reduce it to a very large low cost aircraft moving people from one point to another. That is sad given the stature of BA. I came back on BA31 from London to Hong Kong and the same comments apply. Hard product is fine (except for no snack bar) but the soft product is lacking severely."
Boeing 777-200,Business,Economy Class,Sydney to London via Singapore,May 2018,4.0,3.0,1.0,1.0,4.0,,4,no,"✅ Trip Verified | Sydney to London via Singapore. It has been a very long time since I was on a long haul with BA of more than 9 hours. Last year had a relative sprint from London to JFK and before that in 2002. The years have not been kind to BA. Probably a mixture of the decline of BA and the emergence of other airlines. Nearly all my long haul is with Qantas on its A380, occasionally Emirates on its version and then once in a while with Cathay Pacific and American Airlines. The problem is not the hard product. A B777 or the A380 in whatever colour and decor is ordered is the same air frame. The B777 from Sydney to Singapore was fine. Nosier than the A380 but that is well known. Very comfortable seats and at 8 hours a relative sprint for those who call Sydney home. It is the soft product that is lacking. Check in was fine and despite being in Economy had an express pass through security (being a Gold FF with Qantas). Boarding was orderly and an on time departure and arrival into Singapore. Now its just a lack of polish with the soft product. No menu given showing what was to be served (as with Cathay, Emirates and Qantas). The cutlery was really cheap and I mean cheap. KFC offers a better grade of plastic. I know in these days of security that proper silverware is not possible but someone at BA needs to check out the plastic used on Cathay and Qantas). The food itself was very bland; a salad that had seen better days and penne with some sauce that was over salty. Qantas have done away with salads and simply give you a main dish plus garlic bread and a dessert. It's just the quality that is lacking. Drinks? I have a tradition, something silly, about starting a journey off with a Jack Daniels and Coke. This is available on Qantas but no sir, we don't serve that. A note about the FA's: they were great but one gets the feeling that they are chirpy to mask some of the shortcomings with the product they are asked to deliver. Final word about this leg is the iFE. A touchscreen but it was slow in response time and the selection was diabolically bad. Award winning or classic films with not a noted film from the last 30 years. One or two interesting things and some new releases. Come on BA, for may being on a plane for that length of time is a perfect opportunity to catch up on much loved classics. As for music: well I'm 53 but still like the Pearl Jams etc of the world. We are not all into Brit Pop and edgy music presenters. If BA is serious about the airline business then it needs to sharpen up the soft skills, the food and beverage and add a touch of pizzazz about the airline. It is a mix of BA going back and many others coming up and beyond the standards that BA set many years ago."
,Couple Leisure,Business Class,Malaga to Gatwick,May 2018,4.0,4.0,4.0,,4.0,,4,yes,"✅ Trip Verified |  Malaga to Gatwick operated by Titan Airways. Very full business class of 36 people. A sick flight attendant so just one female attendant handled alone. I wish to highly commend here, despite alone she managed perfectly. "
,Solo Leisure,Economy Class,Barcelona to Gatwick,May 2018,1.0,1.0,,,1.0,,2,no,"✅ Trip Verified |  Flew Barcelona to Gatwick. This review is about the arrangement for check in rather than actual flight. BA allows you to check in online, but not to print out a boarding card. There was no machine to print a card, queue taking 75 minutes to get boarding card, and several people were too late for check in. There were 4 desks 2 for priority, 2 for general check in for all flights. Only 1 desk served, once they were about to close check in"
A321,Business,Economy Class,Munich to London,May 2018,3.0,5.0,1.0,,3.0,,3,no,"✅ Trip Verified |  Munich to London-Heathrow with British Airways. While British Airways is more or less in the same price range as Lufthansa, no complimentary food or drinks were served. Crew was friendly. The departure was from Terminal 1 in Munich, which is by far not as nice as the newer terminal 2. And arrival at Terminal 5 in Heathrow which is not as nice/easy as the new Star alliance Queens Terminal 2. No WiFi, personal device entertainment or onboard monitors on my flight. Seat reservation too expensive in my eyes. British airways has one big advantage though: the generous hand luggage rules."
A320,Solo Leisure,Economy Class,London to Reykjavik ,May 2018,4.0,4.0,2.0,,4.0,,4,yes,"✅ Trip Verified |  This was an early morning flight from Heathrow to Keflavik. The flight was not very full. Shortly after take off, the cabin crew came around to sell M&S snacks and drinks reasonably priced. This was a typical intra-European flight on British Airways where food and drinks are for sale. Cabin crew were efficient. I had the exit row seat so leg room was more than adequate."
Boeing 747-400,Business,Business Class,Cape Town to London,May 2018,3.0,1.0,1.0,1.0,3.0,,2,no,"✅ Trip Verified |  Cape Town to London. Dated aircraft, very poor cabin service, semi inedible food and the inevitable entertainment system crash made for a very poor journey. The cabin crew clearly regarded us as an intrusion and I do not feel that I should be having to ask for a drink with my main meal, surely we should have been offered something as a matter of course. I used to be happy to pay more to fly BA, now I pay extra not to."
Boeing 787 / A320,Couple Leisure,Economy Class,Washington to Prague via London,May 2018,1.0,3.0,3.0,4.0,2.0,,3,no,"✅ Trip Verified |  Washington to Prague via London. I have flown them several times in the past, but not for a number of years. I remember them as not a ""top of the line"" airline, but better than average. This time it seemed that any nice things have been dropped (hot towels as you neared your destination), and they have become almost a low fare airline. You pay for reserving seats, on shorter flights you pay for food, etc. The seating on the Boeing 787 seemed very cramped. It is said to be 31"" but seemed like less. On the return flight on May 3rd, two of the lavatories went out of service. The A320 from London to Prague seemed to have more seat room, but the seats were very hard. They may be the new ""slimline"" seats, I'm not sure, but they were very uncomfortable even for a two hour flight. Also, on the Washington  to LHR flight we had printed out boarding passes at home. The agent at Washington printed out additional ones and said we should use them, but when we got to security she had printed out two for me and none for my wife. It was lucky we still had the one we printed out at home. I won't say that I will not fly them again, but I will definitely compare prices in the future. They aren't worth any extra cost."
Boeing 747,Solo Leisure,First Class,London to Washington,May 2018,3.0,2.0,2.0,1.0,4.0,,1,no,"✅ Trip Verified |  London to Washington. Apart from the space, nothing nothing was First class, not even the comfort. Crew was hardly more attentive to service than in coach. Food which used to be fantastic is just eatable, no more. Wines which were the best in the sky when Jancis Robinson and Hugh Johnson made the selection (apart from a good white champagne, but mediocre rosé) are at the level of a business class. And my seat did not have sound from the audio/video system: so they moved me. And an hour later the whole system stopped without the crew apologizing. Needless to say no wifi! Apart from their LHR First and Concorde Room lounges at LHR which remain great, BA is now no better than a 3 star airline. Sad for the clients and shameful for BA management."
Boeing 747,Solo Leisure,Economy Class,Washington to Glasgow via London,May 2018,4.0,4.0,3.0,3.0,3.0,,5,yes,"✅ Trip Verified |  I had called the British Airways customer service staff to ask about my plane change at London Heathrow from Washington Dulles to Glasgow. I was told that clearing border control would be done at final destination at Glasgow, but this was not true. Passengers arriving into London Heathrow from international and connecting to domestic flights have to clear UK border control, long lines and then security screen again,  before gaining access to flights. Even with mobility assistance and a fast track card and 80 minutes between flights, it was a close call to make connections."
,Solo Leisure,Economy Class,London to Montreal,March 2018,3.0,2.0,1.0,2.0,1.0,,1,no,"✅ Trip Verified |  London to Montreal. I did my online check-in the night before and left to go to the airport. I arrived at the airport 2.5 hours in advance, went to a kiosk to print my boarding pass, and the kiosk wasn't working, so I proceeded to the BA counter to get my pass and check in my luggage. I was in line for approximately 15 minutes when we were all told to switch lines. The line we were moved to was substantially longer however I was patient. By the time I got to the desk, an hour had passed, and I had a bit over an hour left to my flight. I figured this was tight but all the while manageable since I trusted BA's system. The woman at the counter asked me where I was going and when I said Montreal, she looked at me and said ""you won't make it"". I explained the situation how I had been in the airport for several hours already and that I was in line for 1 hour. She just told me I needed to go to the missed flight counter. I got to the counter and they informed me that I had to buy a new return ticket. My original return ticket cost me $800, my return cost me $1350.  I had no choice but to buy the ticket. I also had to stay in a hotel and then take a bus to Gatwick airport the following morning. Once I arrived back in Montreal I called BA Customer Services and they told me that it was protocol to put me on standby and not make me purchase a new ticket, and that I could get a refund, if not for the new flight, then for the $400 of the flight I missed. Imagine my shock after spending an additional $1500 CAD all in. When I escalated my complaint, they did not address my case for over a month and once they did they just said we cannot refund you, and that was that. "
Boeing 777-300ER / A320,Solo Leisure,Economy Class,Tokyo to Amsterdam via London,May 2018,2.0,2.0,1.0,1.0,4.0,,3,no,"✅ Trip Verified |  Tokyo to Amsterdam via London. On the evening before departure I received an email from BA the flight would be delayed for one hour but we were urged to get to the airport on the original time in case there wouldn't be a delay. In the end the aircraft left Tokyo Haneda with a 90 minutes delay. Baggage drop off was smooth and was handled with Japanese politeness. If you have the choice to fly from NRT or HND I would definitely choose HND because it's much more conveniently located to downtown Tokyo. The aircraft was parked at a remote stand and we were bussed to the aircraft, adding more time to the delay we already had. I didn't like the seats on the 777. I found them quite uncomfortable and the legroom was insufficient, especially when you have an instant recline type passenger in front of you. On the window and aisle seats, there's also the IFE box so there's no place for both feet. The meal was a joke and there was no choise. Inflight entertainment is not up to date, small screens with low brightness. The crew was not very friendly. When I went to the galley for a drink I was was urged to return to my seat instead of drinking in the galley and stretching my legs. The second meal service was rushed. We've got our meals and after 5 minutes the crew returned to pick up the trays because we were already descending to LHR.  Luckily I've made it to my connecting flight to Amsterdam because I had a short connection. The A320 flight to Amsterdam departed ahead of schedule. There's nothing special to write about this short flight although one round of drinks would have been nice. Unfortunately BA decided to cut the the service on European flights in the race to the bottom."
A320,Business,Business Class,Vienna to London Heathrow,May 2018,3.0,4.0,2.0,,3.0,,3,yes,✅ Trip Verified | Check-in at Vienna Airport was painless. BA uses Air Lounge at Vienna and was adequate with enough seating and food was okay. Boarding was a scrum as there was no priority given to Club Europe passengers. The flight wasn’t full therefore service was quite prompt. I found the crew to be quite engaging and friendly and were happy to talk to. The food was quite mediocre which consisted of afternoon tea scones and miniscule sandwiches. One passenger wasn’t very happy with the serving and the crew tried her hardest to explain what afternoon tea was. Business class was quite average to be honest. Will fly Club Europe again maybe depending on which route and price. BA has a lot of catching up to do compare to other carrier within Europe.
A320,Solo Leisure,Economy Class,London Heathrow to Vienna,May 2018,1.0,1.0,1.0,2.0,1.0,,1,no,"✅ Trip Verified | Took a day trip to Vienna with British Airways, booked at the last minute. Flying out at 0720 on a Sunday and having an early start to get to the airport I was looking forward to getting some sleep on the flight. Having never usually been a problem, I boarded the aircraft and asked if it would be possible to get a pillow and blanket, to be told by a member of crew that these are not for economy passengers – only business. Freezing temperature onboard the aircraft, so managed to get limited sleep – another example of BA’s pathetic cost cutting antics and demonstrates the non-existence of customer service within the airline. Despite it being one of the first flights out of Heathrow, with no queue for departure and perfect weather conditions – we still managed to arrive about 20 minutes late into Vienna – quite as to how, is beyond me. I'll be sticking to easyJet until British Airways once again starts to value it’s passengers, as currently they couldn’t care less."
,Couple Leisure,Economy Class,Glasgow to Heathrow,May 2018,1.0,1.0,,,1.0,,1,no,"✅ Trip Verified |  Glasgow to Heathrow. BA are a disgrace, it once stood for a high standard and flew the flag high. My flight from Islay was delayed by 2 hours, no fault of mine, so I missed my connecting flight! After being fobbed off as not my fault, nothing we can do I ended phoning and after an hour of being passed from pillar to post and back again, I had to pay for another flight. Money grabbing company with lousy customer service and lack of any feeling"
